licensePlate,longitude,latitude,city,state,speed
4-2288B,101.766855,79.694526,West Kristopher,Iowa,68
855TOP,-1.616434,-27.559417,Johnfort,Wisconsin,94
826 YBL,164.81867,-25.054565,Malloryshire,North Dakota,64
LSL-121,-158.509567,63.5643585,Aprilburgh,North Dakota,110
ZNP 970,-112.927096,-42.634302,Thomasmouth,Ohio,96
T07 6WC,-10.535853,-69.4456195,Smithborough,Wyoming,80
1M Z3492,-65.430434,25.1177065,Rachelview,North Carolina,108
ELQ A17,-154.979852,23.878478,North Laura,California,107
6VJ 297,-40.649314,-46.8153525,Blanchardfort,Arkansas,98
MMR7176,-61.196859,-84.4925735,New Scott,Georgia,99
8P 93228,17.653199,-3.6270505,New Summer,New Jersey,67
1QS06,-59.706807,37.843698,Laurashire,Michigan,76
129 VM5,-7.649421,45.2687965,New Amanda,Wisconsin,98
4SEE874,93.524818,-22.361425,Port Danielle,Delaware,86
30JF625,-121.013405,-43.9591515,Montgomeryview,New Mexico,71
356 GVI,120.886019,-33.2255895,North Stephanie,Wisconsin,84
569 XPQ,-74.892731,-48.896025,Martinbury,Oregon,74
YNZ 098,24.743689,-82.128819,Garyberg,Kansas,70
WNW-969,-138.166775,-17.4492185,Port Deannaville,Oregon,60
606 QD3,69.946019,-7.5767935,Lake Peggymouth,Indiana,82
681-ZQV,-68.183355,68.093564,Andrewhaven,South Carolina,83
0-E9868,28.933436,-36.350016,Davidtown,Washington,110
952 CKT,109.813737,68.8162035,Jonesland,New Jersey,62
791 GBU,-89.249786,-2.805042,Nicholasshire,South Dakota,84
IHF-3142,103.169233,47.7403595,West Kevin,Michigan,83
C34-25C,-30.707316,78.6565925,Port Madisonhaven,Idaho,67
836PTY,-86.640618,46.012509,East Amy,Washington,98
8FB1539,-10.443568,-13.732889,Port Roberttown,Oklahoma,84
N44 7BX,137.262342,-55.775814,North Stephen,North Carolina,75
QMQ 756,-98.755824,51.807819,East Jennifer,Indiana,104
J 271411,155.865182,69.081032,New Denise,Illinois,109
A60 0QR,165.405915,74.8772555,Perkinsfurt,Idaho,101
7P 50572,5.059019,66.549943,Lake Jessicaton,Ohio,107
112 ZDG,77.167971,-12.2008345,Lake Michele,Maine,96
